region,vol_points,stderr,rel,time_s,analytic
fuel,42.6667,0.0592739,0.00138923,0.0749915,42.6613
clad,14.0197,0.0500393,0.00356921,0.0749915,14.0444
coolant,102.515,0.0505476,0.000493077,0.0749915,102.495
