energy_MeV,H1_sigmaT,O16_sigmaT
2.89665e-07,21.4879,3.89935
3.06583e-07,21.4338,3.89877
3.24489e-07,21.3836,3.89819
3.4344e-07,21.3355,3.8976
3.63498e-07,21.2905,3.8971
3.84728e-07,21.2471,3.89663
4.07197e-07,21.2071,3.89616
4.30979e-07,21.1687,3.89571
4.5615e-07,21.1337,3.89532
4.82791e-07,21.0988,3.89492
5.10988e-07,21.0661,3.89456
5.40831e-07,21.037,3.89423
5.72418e-07,21.0079,3.89391
6.05849e-07,20.9789,3.89359
6.41233e-07,20.9523,3.89329
6.78683e-07,20.9283,3.89303
7.18321e-07,20.9045,3.89276
7.60273e-07,20.8815,3.89251
8.04676e-07,20.8611,3.89228
8.51672e-07,20.8408,3.89206
9.01413e-07,20.8218,3.89185
9.54059e-07,20.8041,3.89166
1.00978e-06,20.7868,3.89147
1.06875e-06,20.7718,3.89131
1.13117e-06,20.7568,3.89115
1.19724e-06,20.7418,3.89098
1.26716e-06,20.7275,3.89083
1.34117e-06,20.7151,3.8907
1.4195e-06,20.7028,3.89056
1.5024e-06,20.6905,3.89043
1.59015e-06,20.6799,3.89032
1.68302e-06,20.6693,3.89021
1.78131e-06,20.6592,3.8901
1.88535e-06,20.65,3.89
1.99546e-06,20.6407,3.88991
2.112e-06,20.6331,3.88983
2.23535e-06,20.6255,3.88975
2.3659e-06,20.618,3.88967
2.50408e-06,20.6105,3.88959
2.65033e-06,20.6031,3.88952
2.80512e-06,20.5962,3.88944
2.96895e-06,20.5903,3.88939
3.14235e-06,20.5845,3.88933
3.32587e-06,20.5787,3.88927
3.52011e-06,20.5731,3.88921
3.7257e-06,20.5683,3.88916
3.9433e-06,20.5635,3.88911
4.1736e-06,20.5588,3.88907
4.41735e-06,20.5545,3.88902
4.67534e-06,20.5504,3.88898
4.9484e-06,20.5464,3.88894
5.2374e-06,20.5428,3.88891
5.54329e-06,20.5394,3.88888
5.86704e-06,20.536,3.88884
6.20969e-06,20.5326,3.88881
6.57236e-06,20.5296,3.88878
6.95621e-06,20.5268,3.88875
7.36248e-06,20.5239,3.88873
7.79248e-06,20.5213,3.8887
8.24759e-06,20.5188,3.88868
8.72928e-06,20.5163,3.88865
9.2391e-06,20.5141,3.88863
9.7787e-06,20.5119,3.88861
1.03498e-05,20.5099,3.88859
1.09543e-05,20.508,3.88857
1.15941e-05,20.5061,3.88856
1.22712e-05,20.5042,3.88854
1.29879e-05,20.5026,3.88852
1.37464e-05,20.501,3.88851
1.45493e-05,20.4994,3.88849
1.5399e-05,20.4979,3.88848
1.62983e-05,20.4965,3.88847
1.72502e-05,20.4951,3.88845
1.82577e-05,20.4938,3.88844
1.9324e-05,20.4925,3.88843
2.04526e-05,20.4914,3.88842
2.16471e-05,20.4903,3.8884
2.29114e-05,20.4892,3.88839
2.42495e-05,20.4882,3.88838
2.56658e-05,20.4871,3.88837
2.71647e-05,20.4861,3.88836
2.87513e-05,20.4852,3.88835
3.04305e-05,20.4844,3.88834
3.22077e-05,20.4835,3.88833
3.40888e-05,20.4827,3.88832
3.60797e-05,20.4819,3.88831
3.81869e-05,20.4811,3.8883
4.04171e-05,20.4804,3.88829
4.27776e-05,20.4797,3.88828
4.5276e-05,20.4791,3.88827
4.79203e-05,20.4784,3.88826
5.0719e-05,20.4778,3.88825
5.36812e-05,20.4772,3.88824
5.68164e-05,20.4767,3.88823
6.01346e-05,20.4761,3.88822
6.36467e-05,20.4756,3.88821
6.73639e-05,20.4751,3.8882
7.12982e-05,20.4746,3.88818
7.54623e-05,20.4741,3.88817
7.98696e-05,20.4736,3.88816
8.45343e-05,20.4732,3.88815
8.94714e-05,20.4727,3.88813
9.46969e-05,20.4721,3.88812
0.000100228,20.4714,3.8881
0.000106081,20.4682,3.88809
0.000112277,20.4651,3.88807
0.000118834,20.462,3.88806
0.000125774,20.4589,3.88804
0.00013312,20.4557,3.88802
0.000140895,20.4525,3.888
0.000149124,20.4493,3.88798
0.000157833,20.4461,3.88796
0.000167051,20.4429,3.88794
0.000176807,20.4397,3.88791
0.000187134,20.4366,3.88789
0.000198063,20.4334,3.88786
