index,nuclide,reaction,mean,rel_err
0,U-235,inelastic,0.0076,0.115782
1,U-238,fission,0.122,0.0580618
2,U-235,elastic,0.1172,0.0373564
3,U-235,capture,0.1045,0.0356507
4,U-235,fission,0.4549,0.0340642
5,O-16,inelastic,0.0015,0.258018
6,O-16,abs_other,0.0041,0.159633
7,O-16,elastic,4.6368,0.0232801
8,U-238,inelastic,1.4973,0.0268349
9,U-238,capture,1.3297,0.0213004
10,H-1,elastic,32.085,0.0240239
11,U-238,elastic,15.9432,0.0244555
12,H-1,capture,0.0498,0.0513234
