wt235,avg_fission_neutrons
0.001,0.236667
0.005,0.993333
0.01,2.19333
0.02,7.64667
0.03,9.00333
0.05,18.1033
0.1,39.15
0.2,62.01
0.5,145.277
0.7,208.227
0.9,266.5
