energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
4.59565e-09,1416.1,264.532,2.75903e-05,6.35797
4.86406e-09,1376.4,256.325,2.68189e-05,6.18034
5.14813e-09,1337.79,248.366,2.60691e-05,6.00767
5.4488e-09,1300.24,240.65,2.53403e-05,5.83983
5.76704e-09,1263.71,233.165,2.46318e-05,5.67668
6.10385e-09,1228.15,225.901,2.3943e-05,5.51806
6.46034e-09,1193.49,218.844,2.32735e-05,5.36391
6.83765e-09,1159.75,211.995,2.26228e-05,5.21407
7.23699e-09,1126.81,205.328,2.19907e-05,5.06854
7.65966e-09,1094.74,198.857,2.13766e-05,4.92714
8.10701e-09,1063.5,192.572,2.07801e-05,4.7898
8.58049e-09,1033.08,186.469,2.02006e-05,4.65638
9.08162e-09,1003.48,180.551,1.96371e-05,4.52665
9.61202e-09,974.719,174.816,1.90892e-05,4.40052
1.01734e-08,946.744,169.258,1.85563e-05,4.27783
1.07676e-08,919.496,163.862,1.80375e-05,4.15841
1.13964e-08,892.995,158.632,1.75331e-05,4.0423
1.2062e-08,867.131,153.547,1.70424e-05,3.92936
1.27665e-08,841.957,148.613,1.65656e-05,3.8196
1.35121e-08,817.417,143.819,1.61022e-05,3.71296
1.43013e-08,793.485,139.157,1.56523e-05,3.60941
1.51365e-08,770.183,134.633,1.52153e-05,3.50886
1.60205e-08,747.434,130.229,1.47915e-05,3.41133
1.69562e-08,725.239,125.948,1.43803e-05,3.3167
1.79465e-08,703.551,121.78,1.39805e-05,3.22474
1.89946e-08,682.371,117.726,1.35917e-05,3.13529
2.0104e-08,661.796,113.8,1.32136e-05,3.0483
2.12782e-08,641.532,109.953,1.28449e-05,2.96348
2.25209e-08,621.888,106.235,1.24864e-05,2.88102
2.38362e-08,602.599,102.599,1.2138e-05,2.80089
2.52283e-08,583.837,99.075,1.17993e-05,2.723
2.67017e-08,565.485,95.6412,1.14702e-05,2.64734
2.82612e-08,547.645,92.3151,1.11503e-05,2.57379
2.99118e-08,530.242,89.0838,1.08393e-05,2.50229
3.16587e-08,513.351,85.9591,1.05369e-05,2.43277
3.35077e-08,496.916,82.9311,1.02431e-05,2.36526
3.54647e-08,480.86,79.9829,9.95764e-06,2.29966
3.7536e-08,465.208,77.1183,9.68032e-06,2.23594
