t_mid_s,counts
8.0625e-07,0
8.0875e-07,3
8.1125e-07,0
8.1375e-07,0
8.1625e-07,4
8.1875e-07,20
8.2125e-07,3
8.2375e-07,0
8.2625e-07,8
8.2875e-07,2
8.3125e-07,0
8.3375e-07,0
8.3625e-07,4
8.3875e-07,3
8.4125e-07,0
8.4375e-07,0
8.4625e-07,0
8.4875e-07,0
8.5125e-07,0
8.5375e-07,0
8.5625e-07,0
8.5875e-07,0
8.6125e-07,0
8.6375e-07,0
8.6625e-07,0
8.6875e-07,0
8.7125e-07,3
8.7375e-07,2
8.7625e-07,0
8.7875e-07,0
8.8125e-07,3
8.8375e-07,0
8.8625e-07,0
8.8875e-07,0
8.9125e-07,0
8.9375e-07,0
8.9625e-07,0
8.9875e-07,0
9.0125e-07,0
9.0375e-07,0
9.0625e-07,0
9.0875e-07,0
9.1125e-07,0
9.1375e-07,0
9.1625e-07,0
9.1875e-07,0
9.2125e-07,0
9.2375e-07,0
9.2625e-07,0
9.2875e-07,0
9.3125e-07,0
9.3375e-07,0
9.3625e-07,0
9.3875e-07,0
9.4125e-07,0
9.4375e-07,0
9.4625e-07,0
9.4875e-07,4
9.5125e-07,2
9.5375e-07,0
9.5625e-07,0
9.5875e-07,1
9.6125e-07,0
9.6375e-07,0
9.6625e-07,4
9.6875e-07,0
9.7125e-07,0
9.7375e-07,0
9.7625e-07,1
9.7875e-07,0
9.8125e-07,0
9.8375e-07,0
9.8625e-07,0
9.8875e-07,0
9.9125e-07,0
9.9375e-07,0
9.9625e-07,0
9.9875e-07,2
