index,nuclide,reaction,mean,rel_err
0,H-1,capture,0.062,0.0486993
1,U-235,fission,0.5807,0.0374973
2,U-235,capture,0.1323,0.0363771
3,U-235,elastic,0.1566,0.0384795
4,U-238,fission,0.295,0.0525042
5,U-238,elastic,22.4024,0.0292375
6,H-1,elastic,40.0982,0.0286184
7,U-238,capture,1.6464,0.026265
8,O-16,abs_other,0.0064,0.13764
9,O-16,elastic,5.9983,0.027733
