index,nuclide,reaction,mean,rel_err
0,U-238,fission,0.004,0.278222
1,U-238,elastic,33.6621,0.00739564
2,O-16,abs_other,0.0001,1
3,O-16,elastic,24.5338,0.00647964
4,U-238,capture,1.0067,0.00238942
5,U-238,inelastic,2.1495,0.00734819
