energy_MeV,water_SigT_cm^-1,natU_SigT_cm^-1
2.18092e-07,1.58844,0.573742
2.30829e-07,1.58376,0.573961
2.44311e-07,1.57928,0.575089
2.58579e-07,1.57502,0.576548
2.73681e-07,1.57101,0.577468
2.89665e-07,1.56733,0.576075
3.06583e-07,1.56369,0.571054
3.24489e-07,1.56031,0.563105
3.4344e-07,1.55707,0.553962
3.63498e-07,1.55405,0.545052
3.84728e-07,1.55113,0.53728
4.07197e-07,1.54844,0.530782
4.30979e-07,1.54586,0.525344
4.5615e-07,1.5435,0.520768
4.82791e-07,1.54116,0.516898
5.10988e-07,1.53896,0.513409
5.40831e-07,1.537,0.510316
5.72418e-07,1.53504,0.507581
6.05849e-07,1.5331,0.505104
6.41233e-07,1.5313,0.502828
6.78683e-07,1.52969,0.500751
7.18321e-07,1.52809,0.498952
7.60273e-07,1.52654,0.497345
8.04676e-07,1.52517,0.49604
8.51672e-07,1.52381,0.49523
9.01413e-07,1.52253,0.494889
9.54059e-07,1.52134,0.495953
1.00978e-06,1.52018,0.499546
1.06875e-06,1.51917,0.508918
1.13117e-06,1.51816,0.518396
1.19724e-06,1.51715,0.497904
1.26716e-06,1.51619,0.481316
1.34117e-06,1.51536,0.475651
1.4195e-06,1.51453,0.473058
1.5024e-06,1.5137,0.471324
1.59015e-06,1.51299,0.469858
1.68302e-06,1.51228,0.468534
1.78131e-06,1.5116,0.467344
1.88535e-06,1.51098,0.466626
1.99546e-06,1.51036,0.476781
2.112e-06,1.50984,0.466817
2.23535e-06,1.50934,0.461849
2.3659e-06,1.50883,0.460094
2.50408e-06,1.50833,0.458536
2.65033e-06,1.50782,0.456826
2.80512e-06,1.50736,0.458136
2.96895e-06,1.50697,0.459817
3.14235e-06,1.50658,0.474183
3.32587e-06,1.50619,0.45596
3.52011e-06,1.50581,0.467269
3.7257e-06,1.50549,0.454964
3.9433e-06,1.50517,0.445828
4.1736e-06,1.50485,0.444978
4.41735e-06,1.50456,0.481579
4.67534e-06,1.50429,0.44721
4.9484e-06,1.50402,0.457655
5.2374e-06,1.50378,0.460394
5.54329e-06,1.50355,0.490282
5.86704e-06,1.50332,0.575697
6.20969e-06,1.50309,1.03466
6.57236e-06,1.50289,35.8608
6.95621e-06,1.5027,3.21091
7.36248e-06,1.50251,0.999405
7.79248e-06,1.50233,0.697202
8.24759e-06,1.50216,0.5964
8.72928e-06,1.502,0.810515
9.2391e-06,1.50185,0.563225
9.7787e-06,1.5017,0.50274
1.03498e-05,1.50157,0.503739
1.09543e-05,1.50144,0.467248
1.15941e-05,1.50131,0.556884
1.22712e-05,1.50118,0.531492
1.29879e-05,1.50107,0.439207
1.37464e-05,1.50096,0.443393
1.45493e-05,1.50086,0.438688
1.5399e-05,1.50075,0.436063
1.62983e-05,1.50066,0.380907
1.72502e-05,1.50057,0.357203
1.82577e-05,1.50048,0.343235
1.9324e-05,1.5004,0.713307
2.04526e-05,1.50032,2.38085
2.16471e-05,1.50025,1.97136
2.29114e-05,1.50017,0.84643
2.42495e-05,1.5001,0.651231
