gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.273,40,0.2,0.5,2000,30,5
1,1.272,40,0.2,0.5,2000,30,5
2,1.151,40,0.2,0.5,2000,30,5
3,1.0975,40,0.2,0.5,2000,30,5
4,1.1625,40,0.2,0.5,2000,30,5
5,1.0795,40,0.2,0.5,2000,30,5
6,1.1205,40,0.2,0.5,2000,30,5
7,1.065,40,0.2,0.5,2000,30,5
8,1.0695,40,0.2,0.5,2000,30,5
9,1.1005,40,0.2,0.5,2000,30,5
10,1.0995,40,0.2,0.5,2000,30,5
11,1.0965,40,0.2,0.5,2000,30,5
12,1.1405,40,0.2,0.5,2000,30,5
13,1.074,40,0.2,0.5,2000,30,5
14,1.1195,40,0.2,0.5,2000,30,5
15,1.117,40,0.2,0.5,2000,30,5
16,1.1015,40,0.2,0.5,2000,30,5
17,1.1005,40,0.2,0.5,2000,30,5
18,1.1555,40,0.2,0.5,2000,30,5
19,1.086,40,0.2,0.5,2000,30,5
20,1.081,40,0.2,0.5,2000,30,5
21,1.1255,40,0.2,0.5,2000,30,5
22,1.1195,40,0.2,0.5,2000,30,5
23,1.154,40,0.2,0.5,2000,30,5
24,1.083,40,0.2,0.5,2000,30,5
25,1.1245,40,0.2,0.5,2000,30,5
26,1.082,40,0.2,0.5,2000,30,5
27,1.131,40,0.2,0.5,2000,30,5
28,1.11,40,0.2,0.5,2000,30,5
29,1.141,40,0.2,0.5,2000,30,5
