gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.2865,26.4062,0.2,0.5,2000,30,5
1,1.2085,26.4062,0.2,0.5,2000,30,5
2,1.092,26.4062,0.2,0.5,2000,30,5
3,1.0305,26.4062,0.2,0.5,2000,30,5
4,1.0545,26.4062,0.2,0.5,2000,30,5
5,1.059,26.4062,0.2,0.5,2000,30,5
6,1,26.4062,0.2,0.5,2000,30,5
7,0.989,26.4062,0.2,0.5,2000,30,5
8,1.01112,26.4062,0.2,0.5,2000,30,5
9,1.0075,26.4062,0.2,0.5,2000,30,5
10,1.0145,26.4062,0.2,0.5,2000,30,5
11,1.009,26.4062,0.2,0.5,2000,30,5
12,0.9385,26.4062,0.2,0.5,2000,30,5
13,1.01066,26.4062,0.2,0.5,2000,30,5
14,0.945177,26.4062,0.2,0.5,2000,30,5
15,1.06302,26.4062,0.2,0.5,2000,30,5
16,0.947534,26.4062,0.2,0.5,2000,30,5
17,1.04042,26.4062,0.2,0.5,2000,30,5
18,1.02288,26.4062,0.2,0.5,2000,30,5
19,1.0307,26.4062,0.2,0.5,2000,30,5
20,1.03382,26.4062,0.2,0.5,2000,30,5
21,0.9485,26.4062,0.2,0.5,2000,30,5
22,0.993147,26.4062,0.2,0.5,2000,30,5
23,0.95913,26.4062,0.2,0.5,2000,30,5
24,0.986718,26.4062,0.2,0.5,2000,30,5
25,0.999439,26.4062,0.2,0.5,2000,30,5
26,1.03143,26.4062,0.2,0.5,2000,30,5
27,1.09793,26.4062,0.2,0.5,2000,30,5
28,0.994,26.4062,0.2,0.5,2000,30,5
29,1.03722,26.4062,0.2,0.5,2000,30,5
