gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.2705,35,0.2,0.5,2000,30,5
1,1.313,35,0.2,0.5,2000,30,5
2,1.156,35,0.2,0.5,2000,30,5
3,1.13,35,0.2,0.5,2000,30,5
4,1.105,35,0.2,0.5,2000,30,5
5,1.1115,35,0.2,0.5,2000,30,5
6,1.0855,35,0.2,0.5,2000,30,5
7,1.0585,35,0.2,0.5,2000,30,5
8,1.1205,35,0.2,0.5,2000,30,5
9,1.0505,35,0.2,0.5,2000,30,5
10,1.029,35,0.2,0.5,2000,30,5
11,1.042,35,0.2,0.5,2000,30,5
12,1.031,35,0.2,0.5,2000,30,5
13,1.12,35,0.2,0.5,2000,30,5
14,1.0545,35,0.2,0.5,2000,30,5
15,1.076,35,0.2,0.5,2000,30,5
16,1.108,35,0.2,0.5,2000,30,5
17,1.006,35,0.2,0.5,2000,30,5
18,1.051,35,0.2,0.5,2000,30,5
19,1.0545,35,0.2,0.5,2000,30,5
20,1.0645,35,0.2,0.5,2000,30,5
21,1.02,35,0.2,0.5,2000,30,5
22,1.0865,35,0.2,0.5,2000,30,5
23,1.052,35,0.2,0.5,2000,30,5
24,1.097,35,0.2,0.5,2000,30,5
25,1.086,35,0.2,0.5,2000,30,5
26,1.0985,35,0.2,0.5,2000,30,5
27,1.0975,35,0.2,0.5,2000,30,5
28,1.1345,35,0.2,0.5,2000,30,5
29,1.0805,35,0.2,0.5,2000,30,5
