gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.2925,55,0.2,0.5,2000,30,5
1,1.1765,55,0.2,0.5,2000,30,5
2,1.213,55,0.2,0.5,2000,30,5
3,1.194,55,0.2,0.5,2000,30,5
4,1.0715,55,0.2,0.5,2000,30,5
5,1.124,55,0.2,0.5,2000,30,5
6,1.1915,55,0.2,0.5,2000,30,5
7,1.1135,55,0.2,0.5,2000,30,5
8,1.233,55,0.2,0.5,2000,30,5
9,1.1375,55,0.2,0.5,2000,30,5
10,1.0805,55,0.2,0.5,2000,30,5
11,1.088,55,0.2,0.5,2000,30,5
12,1.233,55,0.2,0.5,2000,30,5
13,1.172,55,0.2,0.5,2000,30,5
14,1.137,55,0.2,0.5,2000,30,5
15,1.191,55,0.2,0.5,2000,30,5
16,1.096,55,0.2,0.5,2000,30,5
17,1.137,55,0.2,0.5,2000,30,5
18,1.1455,55,0.2,0.5,2000,30,5
19,1.156,55,0.2,0.5,2000,30,5
20,1.1595,55,0.2,0.5,2000,30,5
21,1.148,55,0.2,0.5,2000,30,5
22,1.2,55,0.2,0.5,2000,30,5
23,1.172,55,0.2,0.5,2000,30,5
24,1.0735,55,0.2,0.5,2000,30,5
25,1.0935,55,0.2,0.5,2000,30,5
26,1.1405,55,0.2,0.5,2000,30,5
27,1.1865,55,0.2,0.5,2000,30,5
28,1.148,55,0.2,0.5,2000,30,5
29,1.145,55,0.2,0.5,2000,30,5
