gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.3145,50,0.2,0.5,2000,30,5
1,1.2,50,0.2,0.5,2000,30,5
2,1.1705,50,0.2,0.5,2000,30,5
3,1.148,50,0.2,0.5,2000,30,5
4,1.1245,50,0.2,0.5,2000,30,5
5,1.0695,50,0.2,0.5,2000,30,5
6,1.0935,50,0.2,0.5,2000,30,5
7,1.049,50,0.2,0.5,2000,30,5
8,1.0655,50,0.2,0.5,2000,30,5
9,1.0895,50,0.2,0.5,2000,30,5
10,1.0715,50,0.2,0.5,2000,30,5
11,1.1065,50,0.2,0.5,2000,30,5
12,1.1495,50,0.2,0.5,2000,30,5
13,1.1545,50,0.2,0.5,2000,30,5
14,1.2115,50,0.2,0.5,2000,30,5
15,1.0995,50,0.2,0.5,2000,30,5
16,1.181,50,0.2,0.5,2000,30,5
17,1.154,50,0.2,0.5,2000,30,5
18,1.1955,50,0.2,0.5,2000,30,5
19,1.136,50,0.2,0.5,2000,30,5
20,1.148,50,0.2,0.5,2000,30,5
21,1.1955,50,0.2,0.5,2000,30,5
22,1.1575,50,0.2,0.5,2000,30,5
23,1.133,50,0.2,0.5,2000,30,5
24,1.155,50,0.2,0.5,2000,30,5
25,1.0535,50,0.2,0.5,2000,30,5
26,1.128,50,0.2,0.5,2000,30,5
27,1.137,50,0.2,0.5,2000,30,5
28,1.1035,50,0.2,0.5,2000,30,5
29,1.1195,50,0.2,0.5,2000,30,5
