gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.241,27.1875,0.2,0.5,2000,30,5
1,1.169,27.1875,0.2,0.5,2000,30,5
2,1.0595,27.1875,0.2,0.5,2000,30,5
3,1.0915,27.1875,0.2,0.5,2000,30,5
4,1.078,27.1875,0.2,0.5,2000,30,5
5,1.0465,27.1875,0.2,0.5,2000,30,5
6,1.015,27.1875,0.2,0.5,2000,30,5
7,1.121,27.1875,0.2,0.5,2000,30,5
8,1.0285,27.1875,0.2,0.5,2000,30,5
9,1.002,27.1875,0.2,0.5,2000,30,5
10,1.0085,27.1875,0.2,0.5,2000,30,5
11,0.9865,27.1875,0.2,0.5,2000,30,5
12,1.00101,27.1875,0.2,0.5,2000,30,5
13,0.966582,27.1875,0.2,0.5,2000,30,5
14,0.998952,27.1875,0.2,0.5,2000,30,5
15,1.01573,27.1875,0.2,0.5,2000,30,5
16,1.00723,27.1875,0.2,0.5,2000,30,5
17,0.97591,27.1875,0.2,0.5,2000,30,5
18,1.00525,27.1875,0.2,0.5,2000,30,5
19,0.944096,27.1875,0.2,0.5,2000,30,5
20,0.978417,27.1875,0.2,0.5,2000,30,5
21,0.997738,27.1875,0.2,0.5,2000,30,5
22,1.0068,27.1875,0.2,0.5,2000,30,5
23,1.03829,27.1875,0.2,0.5,2000,30,5
24,1.04284,27.1875,0.2,0.5,2000,30,5
25,0.98752,27.1875,0.2,0.5,2000,30,5
26,1.02475,27.1875,0.2,0.5,2000,30,5
27,0.990236,27.1875,0.2,0.5,2000,30,5
28,1.00311,27.1875,0.2,0.5,2000,30,5
29,0.972581,27.1875,0.2,0.5,2000,30,5
