gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.4302,27.1875,0.2,0.25,5000,50,10
1,1.2204,27.1875,0.2,0.25,5000,50,10
2,1.0918,27.1875,0.2,0.25,5000,50,10
3,1.1014,27.1875,0.2,0.25,5000,50,10
4,1.0598,27.1875,0.2,0.25,5000,50,10
5,1.0304,27.1875,0.2,0.25,5000,50,10
6,1.0546,27.1875,0.2,0.25,5000,50,10
7,1.027,27.1875,0.2,0.25,5000,50,10
8,1.0248,27.1875,0.2,0.25,5000,50,10
9,1.0666,27.1875,0.2,0.25,5000,50,10
10,1.0616,27.1875,0.2,0.25,5000,50,10
11,1.07,27.1875,0.2,0.25,5000,50,10
12,1.0492,27.1875,0.2,0.25,5000,50,10
13,1.0462,27.1875,0.2,0.25,5000,50,10
14,1.0628,27.1875,0.2,0.25,5000,50,10
15,1.035,27.1875,0.2,0.25,5000,50,10
16,1.0132,27.1875,0.2,0.25,5000,50,10
17,0.9988,27.1875,0.2,0.25,5000,50,10
18,1.01482,27.1875,0.2,0.25,5000,50,10
19,1.0882,27.1875,0.2,0.25,5000,50,10
20,1.019,27.1875,0.2,0.25,5000,50,10
21,1.039,27.1875,0.2,0.25,5000,50,10
22,1.0396,27.1875,0.2,0.25,5000,50,10
23,1.0126,27.1875,0.2,0.25,5000,50,10
24,0.9976,27.1875,0.2,0.25,5000,50,10
25,1.03488,27.1875,0.2,0.25,5000,50,10
26,1.0866,27.1875,0.2,0.25,5000,50,10
27,1.0504,27.1875,0.2,0.25,5000,50,10
28,1.0492,27.1875,0.2,0.25,5000,50,10
29,1.0392,27.1875,0.2,0.25,5000,50,10
30,1.0438,27.1875,0.2,0.25,5000,50,10
31,1.0678,27.1875,0.2,0.25,5000,50,10
32,1.0012,27.1875,0.2,0.25,5000,50,10
33,1.0562,27.1875,0.2,0.25,5000,50,10
34,1.0354,27.1875,0.2,0.25,5000,50,10
35,1.0242,27.1875,0.2,0.25,5000,50,10
36,0.9732,27.1875,0.2,0.25,5000,50,10
37,1.03987,27.1875,0.2,0.25,5000,50,10
38,1.0458,27.1875,0.2,0.25,5000,50,10
39,1.0234,27.1875,0.2,0.25,5000,50,10
40,1.0208,27.1875,0.2,0.25,5000,50,10
41,1.0024,27.1875,0.2,0.25,5000,50,10
42,1.087,27.1875,0.2,0.25,5000,50,10
43,0.995,27.1875,0.2,0.25,5000,50,10
44,1.0207,27.1875,0.2,0.25,5000,50,10
45,1.0094,27.1875,0.2,0.25,5000,50,10
46,1.0258,27.1875,0.2,0.25,5000,50,10
47,1.0482,27.1875,0.2,0.25,5000,50,10
48,1.0588,27.1875,0.2,0.25,5000,50,10
49,1.019,27.1875,0.2,0.25,5000,50,10
