gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.184,20,0.2,0.5,2000,30,5
1,1.1075,20,0.2,0.5,2000,30,5
2,0.9645,20,0.2,0.5,2000,30,5
3,0.959565,20,0.2,0.5,2000,30,5
4,0.921664,20,0.2,0.5,2000,30,5
5,0.922626,20,0.2,0.5,2000,30,5
6,0.97141,20,0.2,0.5,2000,30,5
7,0.904513,20,0.2,0.5,2000,30,5
8,0.894432,20,0.2,0.5,2000,30,5
9,0.977365,20,0.2,0.5,2000,30,5
10,0.891646,20,0.2,0.5,2000,30,5
11,0.92115,20,0.2,0.5,2000,30,5
12,0.910373,20,0.2,0.5,2000,30,5
13,0.946903,20,0.2,0.5,2000,30,5
14,0.804907,20,0.2,0.5,2000,30,5
15,0.878084,20,0.2,0.5,2000,30,5
16,0.950413,20,0.2,0.5,2000,30,5
17,0.873043,20,0.2,0.5,2000,30,5
18,0.878486,20,0.2,0.5,2000,30,5
19,0.882086,20,0.2,0.5,2000,30,5
20,0.830334,20,0.2,0.5,2000,30,5
21,1.02167,20,0.2,0.5,2000,30,5
22,0.890909,20,0.2,0.5,2000,30,5
23,0.911565,20,0.2,0.5,2000,30,5
24,0.891791,20,0.2,0.5,2000,30,5
25,0.841004,20,0.2,0.5,2000,30,5
26,1.01493,20,0.2,0.5,2000,30,5
27,0.897059,20,0.2,0.5,2000,30,5
28,1.04918,20,0.2,0.5,2000,30,5
29,0.895833,20,0.2,0.5,2000,30,5
