gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.304,45,0.2,0.5,2000,30,5
1,1.1635,45,0.2,0.5,2000,30,5
2,1.197,45,0.2,0.5,2000,30,5
3,1.1745,45,0.2,0.5,2000,30,5
4,1.0885,45,0.2,0.5,2000,30,5
5,1.106,45,0.2,0.5,2000,30,5
6,1.115,45,0.2,0.5,2000,30,5
7,1.118,45,0.2,0.5,2000,30,5
8,1.039,45,0.2,0.5,2000,30,5
9,1.1235,45,0.2,0.5,2000,30,5
10,1.233,45,0.2,0.5,2000,30,5
11,1.1225,45,0.2,0.5,2000,30,5
12,1.1375,45,0.2,0.5,2000,30,5
13,1.1365,45,0.2,0.5,2000,30,5
14,1.0975,45,0.2,0.5,2000,30,5
15,1.1605,45,0.2,0.5,2000,30,5
16,1.157,45,0.2,0.5,2000,30,5
17,1.141,45,0.2,0.5,2000,30,5
18,1.136,45,0.2,0.5,2000,30,5
19,1.1315,45,0.2,0.5,2000,30,5
20,1.185,45,0.2,0.5,2000,30,5
21,1.148,45,0.2,0.5,2000,30,5
22,1.158,45,0.2,0.5,2000,30,5
23,1.0915,45,0.2,0.5,2000,30,5
24,1.1455,45,0.2,0.5,2000,30,5
25,1.1425,45,0.2,0.5,2000,30,5
26,1.11,45,0.2,0.5,2000,30,5
27,1.0825,45,0.2,0.5,2000,30,5
28,1.1335,45,0.2,0.5,2000,30,5
29,1.123,45,0.2,0.5,2000,30,5
