gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.3125,60,0.2,0.5,2000,30,5
1,1.295,60,0.2,0.5,2000,30,5
2,1.196,60,0.2,0.5,2000,30,5
3,1.23,60,0.2,0.5,2000,30,5
4,1.167,60,0.2,0.5,2000,30,5
5,1.095,60,0.2,0.5,2000,30,5
6,1.127,60,0.2,0.5,2000,30,5
7,1.168,60,0.2,0.5,2000,30,5
8,1.2115,60,0.2,0.5,2000,30,5
9,1.157,60,0.2,0.5,2000,30,5
10,1.141,60,0.2,0.5,2000,30,5
11,1.115,60,0.2,0.5,2000,30,5
12,1.119,60,0.2,0.5,2000,30,5
13,1.18,60,0.2,0.5,2000,30,5
14,1.1575,60,0.2,0.5,2000,30,5
15,1.1455,60,0.2,0.5,2000,30,5
16,1.1305,60,0.2,0.5,2000,30,5
17,1.1875,60,0.2,0.5,2000,30,5
18,1.226,60,0.2,0.5,2000,30,5
19,1.1515,60,0.2,0.5,2000,30,5
20,1.1345,60,0.2,0.5,2000,30,5
21,1.143,60,0.2,0.5,2000,30,5
22,1.16,60,0.2,0.5,2000,30,5
23,1.165,60,0.2,0.5,2000,30,5
24,1.1825,60,0.2,0.5,2000,30,5
25,1.11,60,0.2,0.5,2000,30,5
26,1.2255,60,0.2,0.5,2000,30,5
27,1.1995,60,0.2,0.5,2000,30,5
28,1.261,60,0.2,0.5,2000,30,5
29,1.1565,60,0.2,0.5,2000,30,5
