gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.273,30,0.2,0.5,2000,30,5
1,1.24,30,0.2,0.5,2000,30,5
2,1.227,30,0.2,0.5,2000,30,5
3,1.112,30,0.2,0.5,2000,30,5
4,1.0285,30,0.2,0.5,2000,30,5
5,1.052,30,0.2,0.5,2000,30,5
6,1.0615,30,0.2,0.5,2000,30,5
7,1.0245,30,0.2,0.5,2000,30,5
8,1.062,30,0.2,0.5,2000,30,5
9,1.0975,30,0.2,0.5,2000,30,5
10,1.009,30,0.2,0.5,2000,30,5
11,1.0285,30,0.2,0.5,2000,30,5
12,1.0785,30,0.2,0.5,2000,30,5
13,1.089,30,0.2,0.5,2000,30,5
14,0.9835,30,0.2,0.5,2000,30,5
15,0.994408,30,0.2,0.5,2000,30,5
16,1.02352,30,0.2,0.5,2000,30,5
17,1.0115,30,0.2,0.5,2000,30,5
18,1.05,30,0.2,0.5,2000,30,5
19,1.0535,30,0.2,0.5,2000,30,5
20,1.03,30,0.2,0.5,2000,30,5
21,1.073,30,0.2,0.5,2000,30,5
22,0.9995,30,0.2,0.5,2000,30,5
23,1.01651,30,0.2,0.5,2000,30,5
24,0.949,30,0.2,0.5,2000,30,5
25,1.05111,30,0.2,0.5,2000,30,5
26,1.03308,30,0.2,0.5,2000,30,5
27,1.0405,30,0.2,0.5,2000,30,5
28,1.0155,30,0.2,0.5,2000,30,5
29,1.061,30,0.2,0.5,2000,30,5
