gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.234,22.5,0.2,0.5,2000,30,5
1,1.134,22.5,0.2,0.5,2000,30,5
2,1.024,22.5,0.2,0.5,2000,30,5
3,0.981,22.5,0.2,0.5,2000,30,5
4,0.997452,22.5,0.2,0.5,2000,30,5
5,1.01788,22.5,0.2,0.5,2000,30,5
6,0.925201,22.5,0.2,0.5,2000,30,5
7,0.929463,22.5,0.2,0.5,2000,30,5
8,0.923526,22.5,0.2,0.5,2000,30,5
9,0.921618,22.5,0.2,0.5,2000,30,5
10,1.0096,22.5,0.2,0.5,2000,30,5
11,1.02582,22.5,0.2,0.5,2000,30,5
12,0.999338,22.5,0.2,0.5,2000,30,5
13,0.923128,22.5,0.2,0.5,2000,30,5
14,0.877961,22.5,0.2,0.5,2000,30,5
15,0.892886,22.5,0.2,0.5,2000,30,5
16,0.918498,22.5,0.2,0.5,2000,30,5
17,0.961117,22.5,0.2,0.5,2000,30,5
18,0.98444,22.5,0.2,0.5,2000,30,5
19,0.940991,22.5,0.2,0.5,2000,30,5
20,0.995521,22.5,0.2,0.5,2000,30,5
21,0.939258,22.5,0.2,0.5,2000,30,5
22,0.925749,22.5,0.2,0.5,2000,30,5
23,0.92238,22.5,0.2,0.5,2000,30,5
24,0.886396,22.5,0.2,0.5,2000,30,5
25,0.933544,22.5,0.2,0.5,2000,30,5
26,0.99661,22.5,0.2,0.5,2000,30,5
27,1.0102,22.5,0.2,0.5,2000,30,5
28,0.840067,22.5,0.2,0.5,2000,30,5
29,0.957916,22.5,0.2,0.5,2000,30,5
