gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.271,28.75,0.2,0.5,2000,30,5
1,1.1075,28.75,0.2,0.5,2000,30,5
2,1.1335,28.75,0.2,0.5,2000,30,5
3,1.074,28.75,0.2,0.5,2000,30,5
4,1.048,28.75,0.2,0.5,2000,30,5
5,0.986,28.75,0.2,0.5,2000,30,5
6,1.07505,28.75,0.2,0.5,2000,30,5
7,1.0405,28.75,0.2,0.5,2000,30,5
8,1.0075,28.75,0.2,0.5,2000,30,5
9,1.088,28.75,0.2,0.5,2000,30,5
10,1.023,28.75,0.2,0.5,2000,30,5
11,1.0425,28.75,0.2,0.5,2000,30,5
12,1.0085,28.75,0.2,0.5,2000,30,5
13,1,28.75,0.2,0.5,2000,30,5
14,0.983,28.75,0.2,0.5,2000,30,5
15,1.0178,28.75,0.2,0.5,2000,30,5
16,1.032,28.75,0.2,0.5,2000,30,5
17,0.978,28.75,0.2,0.5,2000,30,5
18,1.04294,28.75,0.2,0.5,2000,30,5
19,1.008,28.75,0.2,0.5,2000,30,5
20,1.0195,28.75,0.2,0.5,2000,30,5
21,1.015,28.75,0.2,0.5,2000,30,5
22,0.9765,28.75,0.2,0.5,2000,30,5
23,1.03277,28.75,0.2,0.5,2000,30,5
24,1.0245,28.75,0.2,0.5,2000,30,5
25,1.1045,28.75,0.2,0.5,2000,30,5
26,0.9655,28.75,0.2,0.5,2000,30,5
27,1.05955,28.75,0.2,0.5,2000,30,5
28,1.065,28.75,0.2,0.5,2000,30,5
29,1.0405,28.75,0.2,0.5,2000,30,5
