gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.3045,25.625,0.2,0.5,2000,30,5
1,1.129,25.625,0.2,0.5,2000,30,5
2,1.101,25.625,0.2,0.5,2000,30,5
3,1.0145,25.625,0.2,0.5,2000,30,5
4,0.9375,25.625,0.2,0.5,2000,30,5
5,1.03093,25.625,0.2,0.5,2000,30,5
6,0.986032,25.625,0.2,0.5,2000,30,5
7,0.996327,25.625,0.2,0.5,2000,30,5
8,1.06635,25.625,0.2,0.5,2000,30,5
9,0.9695,25.625,0.2,0.5,2000,30,5
10,1.02063,25.625,0.2,0.5,2000,30,5
11,1.02779,25.625,0.2,0.5,2000,30,5
12,0.9525,25.625,0.2,0.5,2000,30,5
13,0.903937,25.625,0.2,0.5,2000,30,5
14,0.970383,25.625,0.2,0.5,2000,30,5
15,1.0377,25.625,0.2,0.5,2000,30,5
16,0.981546,25.625,0.2,0.5,2000,30,5
17,0.938308,25.625,0.2,0.5,2000,30,5
18,1.03569,25.625,0.2,0.5,2000,30,5
19,1.02056,25.625,0.2,0.5,2000,30,5
20,0.971564,25.625,0.2,0.5,2000,30,5
21,0.960976,25.625,0.2,0.5,2000,30,5
22,0.996827,25.625,0.2,0.5,2000,30,5
23,0.969446,25.625,0.2,0.5,2000,30,5
24,1.00394,25.625,0.2,0.5,2000,30,5
25,0.93656,25.625,0.2,0.5,2000,30,5
26,0.979749,25.625,0.2,0.5,2000,30,5
27,1.05631,25.625,0.2,0.5,2000,30,5
28,1.02159,25.625,0.2,0.5,2000,30,5
29,0.957728,25.625,0.2,0.5,2000,30,5
