gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.2945,25,0.2,0.5,2000,30,5
1,1.205,25,0.2,0.5,2000,30,5
2,1.0535,25,0.2,0.5,2000,30,5
3,1.042,25,0.2,0.5,2000,30,5
4,0.9645,25,0.2,0.5,2000,30,5
5,0.925868,25,0.2,0.5,2000,30,5
6,0.961366,25,0.2,0.5,2000,30,5
7,0.981363,25,0.2,0.5,2000,30,5
8,1.0184,25,0.2,0.5,2000,30,5
9,0.957459,25,0.2,0.5,2000,30,5
10,0.930006,25,0.2,0.5,2000,30,5
11,1.00065,25,0.2,0.5,2000,30,5
12,0.978417,25,0.2,0.5,2000,30,5
13,0.954545,25,0.2,0.5,2000,30,5
14,0.955882,25,0.2,0.5,2000,30,5
15,1.01099,25,0.2,0.5,2000,30,5
16,0.952899,25,0.2,0.5,2000,30,5
17,0.928517,25,0.2,0.5,2000,30,5
18,0.954955,25,0.2,0.5,2000,30,5
19,0.948542,25,0.2,0.5,2000,30,5
20,0.920434,25,0.2,0.5,2000,30,5
21,0.991159,25,0.2,0.5,2000,30,5
22,0.989098,25,0.2,0.5,2000,30,5
23,1.02004,25,0.2,0.5,2000,30,5
24,1.03536,25,0.2,0.5,2000,30,5
25,1.00474,25,0.2,0.5,2000,30,5
26,1.00378,25,0.2,0.5,2000,30,5
27,0.962371,25,0.2,0.5,2000,30,5
28,0.939394,25,0.2,0.5,2000,30,5
29,0.940687,25,0.2,0.5,2000,30,5
