gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.1444,27.1875,0.2,0.75,5000,50,10
1,1.2174,27.1875,0.2,0.75,5000,50,10
2,1.1284,27.1875,0.2,0.75,5000,50,10
3,1.0668,27.1875,0.2,0.75,5000,50,10
4,1.041,27.1875,0.2,0.75,5000,50,10
5,1.052,27.1875,0.2,0.75,5000,50,10
6,1.0492,27.1875,0.2,0.75,5000,50,10
7,1.0698,27.1875,0.2,0.75,5000,50,10
8,1.063,27.1875,0.2,0.75,5000,50,10
9,1.0684,27.1875,0.2,0.75,5000,50,10
10,1.079,27.1875,0.2,0.75,5000,50,10
11,1.0784,27.1875,0.2,0.75,5000,50,10
12,1.0648,27.1875,0.2,0.75,5000,50,10
13,1.0394,27.1875,0.2,0.75,5000,50,10
14,1.0528,27.1875,0.2,0.75,5000,50,10
15,1.0446,27.1875,0.2,0.75,5000,50,10
16,1.0354,27.1875,0.2,0.75,5000,50,10
17,1.106,27.1875,0.2,0.75,5000,50,10
18,1.068,27.1875,0.2,0.75,5000,50,10
19,1.0544,27.1875,0.2,0.75,5000,50,10
20,1.0594,27.1875,0.2,0.75,5000,50,10
21,1.0324,27.1875,0.2,0.75,5000,50,10
22,1.051,27.1875,0.2,0.75,5000,50,10
23,1.0574,27.1875,0.2,0.75,5000,50,10
24,1.0854,27.1875,0.2,0.75,5000,50,10
25,1.0966,27.1875,0.2,0.75,5000,50,10
26,1.108,27.1875,0.2,0.75,5000,50,10
27,1.0574,27.1875,0.2,0.75,5000,50,10
28,1.0398,27.1875,0.2,0.75,5000,50,10
29,1.0384,27.1875,0.2,0.75,5000,50,10
30,1.0524,27.1875,0.2,0.75,5000,50,10
31,1.0746,27.1875,0.2,0.75,5000,50,10
32,1.0626,27.1875,0.2,0.75,5000,50,10
33,1.0686,27.1875,0.2,0.75,5000,50,10
34,1.0798,27.1875,0.2,0.75,5000,50,10
35,1.066,27.1875,0.2,0.75,5000,50,10
36,0.9934,27.1875,0.2,0.75,5000,50,10
37,1.03644,27.1875,0.2,0.75,5000,50,10
38,1.0156,27.1875,0.2,0.75,5000,50,10
39,1.0486,27.1875,0.2,0.75,5000,50,10
40,1.0692,27.1875,0.2,0.75,5000,50,10
41,1.0752,27.1875,0.2,0.75,5000,50,10
42,1.0676,27.1875,0.2,0.75,5000,50,10
43,1.0506,27.1875,0.2,0.75,5000,50,10
44,1.0266,27.1875,0.2,0.75,5000,50,10
45,1.0662,27.1875,0.2,0.75,5000,50,10
46,1.0382,27.1875,0.2,0.75,5000,50,10
47,1.0192,27.1875,0.2,0.75,5000,50,10
48,1.0616,27.1875,0.2,0.75,5000,50,10
49,1.0188,27.1875,0.2,0.75,5000,50,10
